model,epoch_val,accuracy,precision,recall,f1
modern-bert,2,0.9064436183395291,0.8854363703236654,0.8595564133198541,0.8713466962494201
modern-bert,4,0.9058240396530359,0.888057814719932,0.8542168305609166,0.8692058346839546
modern-bert,3,0.9014869888475836,0.879554039503645,0.8513218760530589,0.8640454718113655
deberta,3,0.90272614622057,0.8887893618986056,0.8439389761970407,0.8630158906064596
modern-bert,1,0.8983890954151177,0.8785011944156838,0.8426860276322642,0.8583628704987928
bert,3,0.8903345724907064,0.8751571847730824,0.8217106270869712,0.843490437499007
bert,4,0.8909541511771994,0.8805528061879102,0.8180191771589621,0.8426900584795322
bert,1,0.8884758364312267,0.8711671969060826,0.8204699322978892,0.8412975883264249
bert,2,0.8884758364312267,0.8749809370499027,0.8163649174401862,0.839748115722027
deberta,1,0.8835192069392813,0.8539881016861471,0.8270134485188249,0.8391042541142335
deberta,2,0.8878562577447335,0.8777310508608747,0.8118463376527892,0.8374138396422519
deberta,4,0.8655514250309789,0.859622762857333,0.764938884293723,0.7963158216124896
